time,Negative Control,Negative Control,Negative Control,0 nM,0 nM,0 nM,15 nM,15 nM,15 nM,10 nM,10 nM,10 nM,5 nM,5 nM,5 nM
5 h 42 min,22826,22684,23336,176846,176604,168429,103028.5,104523,102380.5,108268.5,113704,106163,141767,156885,143299.5
5 h 44 min,22766,22802,23519,177723,178008.5,169028,103065,105177,102780,109227.5,114146.5,107054.5,142620.5,158070,144007.5
5 h 46 min,22491,22692,23656,178921.5,178608,170344,104338.5,105681,103707.5,109694.5,115172.5,107519.5,143786.5,159062,145234
5 h 48 min,22771,22736,23549,178961,179388.5,170499.5,104511,105829.5,103464.5,110188.5,115509,108183,144209.5,160424,146220
5 h 50 min,22856,22804,23738,180327,180346.5,171473.5,105737.5,106720.5,104538,111013,116469.5,109110,145780.5,161716.5,147096.5
5 h 52 min,22769,22619,23698,180978.5,181292,171038,105366.5,107316.5,105217.5,111661,117553.5,109996.5,146550.5,162187,147703.5
5 h 54 min,22773,22722,23647,182456.5,181640,172053.5,106385,107799.5,105407.5,112614,117728,110462.5,147223,164949.5,149351
5 h 56 min,22619,22912,23816,183306,183138.5,172846,106600.5,108211.5,105707,113032,118787,110743.5,148096,165543.5,149422.5
5 h 58 min,22794,23227,23584,183481.5,184778.5,173598,107191.5,109034,106486,113701.5,118982.5,111896,149312,165938,150678.5
6,22777,22868,23550,184467,185270.5,173537,107780,109730.5,107208,114576,119793,112232,150637,167867.5,151183.5
