time,protein_concentration,circuit,condition,param_set_idx,log_likelihood
10,22267.67127598454,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
12,22694.984958091198,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
14,23139.30339608445,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
16,23594.57049250119,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
18,24056.889494760504,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
20,24523.744714613236,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
22,24993.51048567048,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
24,25465.136850112172,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
26,25937.947259286848,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
28,26411.507137267232,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
30,26885.53848495971,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
32,27359.86302616274,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
34,27834.36855995228,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
36,28308.98422983254,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
38,28783.66591358847,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
40,29258.3862726397,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
42,29733.128637535825,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
44,30207.88294421749,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
46,30682.643294306567,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
48,31157.40635880627,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
50,31632.170231921227,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
52,32106.93392557584,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
54,32581.6970460855,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
56,33056.459486971704,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
58,33531.22125060606,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
60,34005.98238809251,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
62,34480.742957273425,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
64,34955.5030426216,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
66,35430.26274346529,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
68,35905.022147329015,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
70,36379.78133325672,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
72,36854.54035876236,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
74,37329.29926496969,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
76,37804.05808162165,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
78,38278.81682184021,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
80,38753.57550236695,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
82,39228.33413611757,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
84,39703.092735774204,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
86,40177.85129428434,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
88,40652.60983311847,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
90,41127.36836429986,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
92,41602.12689985178,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
94,42076.88544416107,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
96,42551.64395546658,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
98,43026.40247079736,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
100,43501.160996172504,star_antistar_1,Sense with 15 nM STAR and 10 nM antiSTAR,0,-0.9248063611009785
